radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,605,2,137,1299331,0,10.289,36.777,1000,1,1,,,0
UMTS,605,3,2164,789864,0,10.309,36.774,4993,1,1,,,0
LTE,605,1,10011,28930,0,10.122,36.784,1000,1,1,,,0
GSM,605,2,418,54841,0,10.12,36.784,1000,1,1,,,0
UMTS,605,2,250,197980,0,10.12,36.784,1000,1,1,,,0
GSM,605,3,1156,16118,0,10.122,36.784,1000,1,1,,,0
GSM,605,3,1156,16048,0,10.122,36.784,1000,1,1,,,0
UMTS,605,2,250,201150,0,10.122,36.784,1000,1,1,,,0
UMTS,605,2,1020,858092,0,10.122,36.784,1000,1,1,,,0
UMTS,605,2,1020,858933,0,10.122,36.784,1000,1,1,,,0
UMTS,605,3,2156,227450,0,10.122,36.784,1000,1,1,,,0
GSM,605,2,418,51373,0,10.121,36.784,1000,1,1,,,0
UMTS,605,3,2156,686233,0,10.122,36.785,1000,1,1,,,0
UMTS,605,1,10011,7281923,0,10.128,36.785,1692,1,1,,,0
GSM,605,1,10011,7424,0,10.12,36.785,1000,1,1,,,0
UMTS,605,3,2209,358011,0,10.121,36.785,1000,1,1,,,0
UMTS,605,3,2156,227455,0,10.122,36.785,1000,1,1,,,0
UMTS,605,2,1020,858094,0,10.12,36.785,1000,1,1,,,0
GSM,605,1,10011,995,0,10.12,36.785,1000,1,1,,,0
UMTS,605,3,2156,197450,0,10.123,36.785,1000,1,1,,,0
LTE,605,1,10011,28933,0,10.122,36.785,1000,1,1,,,0
UMTS,605,1,10011,7281920,0,10.12,36.786,1000,1,1,,,0
UMTS,605,2,250,197983,0,10.12,36.786,1000,1,1,,,0
GSM,605,3,1156,16112,0,10.12,36.786,1000,1,1,,,0
UMTS,605,2,1020,903346,0,10.12,36.786,1000,1,1,,,0
UMTS,605,3,2209,227450,0,10.122,36.786,1000,1,1,,,0
GSM,605,2,418,56122,0,10.122,36.786,1000,1,1,,,0
GSM,605,2,418,54842,0,10.122,36.786,1000,1,1,,,0
GSM,605,2,418,56125,0,10.122,36.786,1000,1,1,,,0
UMTS,605,2,1020,908097,0,10.122,36.786,1000,1,1,,,0
UMTS,605,1,10011,65715,0,10.122,36.786,1000,1,1,,,0
GSM,605,3,1156,17221,0,10.123,36.786,1000,1,1,,,0
UMTS,605,3,2100,227455,0,10.123,36.786,1000,1,1,,,0
GSM,605,3,1209,18151,0,10.125,36.786,1000,1,1,,,0
GSM,605,3,1209,16981,0,10.125,36.786,1000,1,1,,,0
GSM,605,3,1209,16693,0,10.125,36.786,1000,1,1,,,0
UMTS,605,3,2100,227460,0,10.125,36.786,1000,1,1,,,0
GSM,605,3,1156,16049,0,10.121,36.786,1000,1,1,,,0
UMTS,605,3,2156,197455,0,10.122,36.786,1000,1,1,,,0
GSM,605,3,1119,15982,0,10.124,36.786,1000,1,1,,,0
GSM,605,2,418,56126,0,10.121,36.786,1000,1,1,,,0
GSM,605,3,1119,16023,0,10.123,36.786,1000,1,1,,,0
UMTS,605,3,2100,686233,0,10.124,36.786,1000,1,1,,,0
UMTS,605,2,136,201150,0,10.121,36.786,1000,1,1,,,0
UMTS,605,1,10011,7281917,0,10.122,36.786,1000,1,1,,,0
LTE,605,2,1020,11636226,0,10.124,36.786,1000,1,1,,,0
UMTS,605,3,2156,227481,0,10.124,36.786,1000,1,1,,,0
LTE,605,2,1020,11698189,0,10.125,36.786,1000,1,1,,,0
GSM,605,2,418,56123,0,10.121,36.786,1000,1,1,,,0
LTE,605,2,1020,11636236,0,10.125,36.787,1000,1,1,,,0
LTE,605,1,10011,28932,0,10.126,36.787,1000,1,1,,,0
UMTS,605,2,136,201153,0,10.122,36.787,1000,1,1,,,0
UMTS,605,3,2100,197450,0,10.124,36.787,1000,1,1,,,0
UMTS,605,2,136,197980,0,10.121,36.787,1000,1,1,,,0
UMTS,605,3,2156,686238,0,10.126,36.787,1000,1,1,,,0
UMTS,605,2,1020,858097,0,10.12,36.787,1000,1,1,,,0
UMTS,605,2,136,197983,0,10.122,36.787,1000,1,1,,,0
UMTS,605,3,2100,656233,0,10.125,36.787,1000,1,1,,,0
UMTS,605,2,250,201153,0,10.126,36.787,1000,1,1,,,0
UMTS,605,3,2209,686237,0,10.127,36.787,1000,1,1,,,0
UMTS,605,3,2156,686237,0,10.129,36.787,1000,1,1,,,0
LTE,605,1,10011,28942,0,10.121,36.787,1000,1,1,,,0
GSM,605,2,418,56124,0,10.128,36.787,2009,1,1,,,0
GSM,605,3,109,16023,0,10.128,36.788,1000,1,1,,,0
UMTS,605,3,2156,197480,0,10.131,36.788,1000,1,1,,,0
UMTS,605,3,2100,656232,0,10.131,36.788,1000,1,1,,,0
UMTS,605,3,2100,686237,0,10.131,36.788,1000,1,1,,,0
UMTS,605,2,1020,858091,0,10.125,36.788,1000,1,1,,,0
UMTS,605,3,2100,197455,0,10.126,36.788,1000,1,1,,,0
UMTS,605,3,2100,656238,0,10.126,36.788,1000,1,1,,,0
UMTS,605,2,250,200616,0,10.129,36.788,1000,1,1,,,0
UMTS,605,3,2100,656237,0,10.129,36.788,1000,1,1,,,0
UMTS,605,3,2156,656232,0,10.129,36.788,1000,1,1,,,0
UMTS,605,2,1020,908095,0,10.13,36.788,1000,1,1,,,0
GSM,605,2,418,56121,0,10.13,36.788,1000,1,1,,,0
GSM,605,2,418,51372,0,10.13,36.788,1000,1,1,,,0
UMTS,605,3,2100,656247,0,10.131,36.788,1000,1,1,,,0
UMTS,605,3,2100,686232,0,10.131,36.788,1000,1,1,,,0
UMTS,605,3,2100,686242,0,10.131,36.788,1000,1,1,,,0
UMTS,605,1,10011,7277253,0,10.131,36.789,1000,1,1,,,0
LTE,605,1,10011,56334,0,10.131,36.789,1000,1,1,,,0
LTE,605,1,10022,52996,0,10.131,36.789,1000,1,1,,,0
LTE,605,1,10011,52485,0,10.131,36.789,1000,1,1,,,0
LTE,605,1,10015,23302,0,10.131,36.789,1000,1,1,,,0
LTE,605,1,10011,37125,0,10.131,36.789,1000,1,1,,,0
LTE,605,1,10015,326149,0,10.131,36.789,1000,1,1,,,0
LTE,605,1,10015,326405,0,10.131,36.789,1000,1,1,,,0
UMTS,605,3,2100,686253,0,10.131,36.789,1000,1,1,,,0
UMTS,605,3,2100,686238,0,10.125,36.789,1000,1,1,,,0
GSM,605,3,1156,17678,0,10.12,36.79,1000,1,1,,,0
GSM,605,2,418,56963,0,10.126,36.79,1000,1,1,,,0
GSM,605,1,10015,12634,0,10.12,36.79,1000,1,1,,,0
UMTS,605,3,2100,656236,0,10.131,36.79,1000,1,1,,,0
LTE,605,2,1020,11555073,0,10.12,36.791,1000,1,1,,,0
UMTS,605,3,2100,686282,0,10.123,36.791,1000,1,1,,,0
UMTS,605,3,2156,227990,0,10.13,36.791,1000,1,1,,,0
UMTS,605,3,2156,197449,0,10.12,36.791,1000,1,1,,,0
LTE,605,3,4119,3881995,0,10.13,36.791,1000,1,1,,,0
GSM,605,1,10011,992,0,10.123,36.791,1000,1,1,,,0
UMTS,605,3,2154,161918,0,10.123,36.792,1000,1,1,,,0
UMTS,605,2,136,201152,0,10.126,36.792,1000,1,1,,,0
UMTS,605,2,1020,858932,0,10.126,36.792,1000,1,1,,,0
GSM,605,3,1119,16028,0,10.121,36.792,1000,1,1,,,0
UMTS,605,2,1020,853342,0,10.12,36.793,1000,1,1,,,0
UMTS,605,3,2100,656282,0,10.127,36.793,1000,1,1,,,0
UMTS,605,3,2100,686287,0,10.128,36.793,1000,1,1,,,0
UMTS,605,2,136,198793,0,10.128,36.793,1000,1,1,,,0
GSM,605,2,418,52185,0,10.125,36.793,1000,1,1,,,0
LTE,605,2,1020,11636225,0,10.126,36.793,1000,1,1,,,0
UMTS,605,1,10011,7287459,0,10.127,36.793,1000,1,1,,,0
UMTS,605,2,136,197596,0,10.129,36.793,1000,1,1,,,0
UMTS,605,2,136,198790,0,10.129,36.793,1000,1,1,,,0
UMTS,605,2,1020,858929,0,10.129,36.793,1000,1,1,,,0
UMTS,605,2,1020,858935,0,10.13,36.793,1000,1,1,,,0
UMTS,605,2,1020,853339,0,10.12,36.793,1000,1,1,,,0
GSM,605,1,10017,6974,0,10.121,36.793,3171,1,1,,,0
GSM,605,1,10011,13021,0,10.122,36.793,1000,1,1,,,0
UMTS,605,1,10011,7288136,0,10.122,36.793,1000,1,1,,,0
UMTS,605,2,1020,908935,0,10.129,36.793,1000,1,1,,,0
GSM,605,1,10011,425,0,10.131,36.793,1000,1,1,,,0
GSM,605,1,10011,993,0,10.122,36.793,1000,1,1,,,0
UMTS,605,3,2100,656283,0,10.121,36.793,1000,1,1,,,0
GSM,605,1,10011,991,0,10.123,36.794,1000,1,1,,,0
UMTS,605,3,2100,685968,0,10.129,36.794,1000,1,1,,,0
GSM,605,1,10011,1111,0,10.12,36.794,1000,1,1,,,0
GSM,605,2,10011,7421,0,10.12,36.794,1000,1,1,,,0
GSM,605,2,10011,991,0,10.12,36.794,1000,1,1,,,0
GSM,605,2,10011,12585,0,10.12,36.794,1000,1,1,,,0
GSM,605,2,10011,13022,0,10.12,36.794,1000,1,1,,,0
GSM,605,2,10011,995,0,10.12,36.794,1000,1,1,,,0
GSM,605,2,10011,13021,0,10.12,36.794,1000,1,1,,,0
GSM,605,2,10011,992,0,10.12,36.794,1000,1,1,,,0
GSM,605,2,10011,7431,0,10.12,36.794,1000,1,1,,,0
GSM,605,2,10011,993,0,10.12,36.794,1000,1,1,,,0
GSM,605,2,10011,1111,0,10.12,36.794,1000,1,1,,,0
UMTS,605,2,1020,854154,0,10.12,36.794,1000,1,1,,,0
UMTS,605,2,1020,854151,0,10.12,36.794,1000,1,1,,,0
UMTS,605,3,2156,656288,0,10.12,36.794,1000,1,1,,,0
UMTS,605,1,10011,7275490,0,10.12,36.794,1000,1,1,,,0
UMTS,605,1,10011,7276314,0,10.122,36.794,1000,1,1,,,0
UMTS,605,3,2100,686283,0,10.123,36.794,1000,1,1,,,0
GSM,605,3,1119,15993,0,10.123,36.794,1000,1,1,,,0
GSM,605,3,1119,15999,0,10.123,36.794,1000,1,1,,,0
UMTS,605,1,10011,7281927,0,10.123,36.794,1000,1,1,,,0
UMTS,605,1,10011,7275487,0,10.123,36.794,1000,1,1,,,0
UMTS,605,1,10011,7275493,0,10.123,36.794,1000,1,1,,,0
GSM,605,2,418,52186,0,10.123,36.794,1000,1,1,,,0
GSM,605,1,10011,7431,0,10.125,36.794,1000,1,1,,,0
UMTS,605,2,1020,908937,0,10.127,36.794,1000,1,1,,,0
UMTS,605,3,2100,655968,0,10.13,36.794,1000,1,1,,,0
LTE,605,2,1020,11546882,0,10.131,36.794,1000,1,1,,,0
UMTS,605,2,1020,854121,0,10.131,36.794,1000,1,1,,,0
GSM,605,1,10011,13022,0,10.123,36.794,1000,1,1,,,0
UMTS,605,1,10011,7281926,0,10.124,36.794,1000,1,1,,,0
GSM,605,3,1119,15998,0,10.125,36.794,1000,1,1,,,0
UMTS,605,1,10011,7281933,0,10.126,36.794,1000,1,1,,,0
GSM,605,1,10011,422,0,10.128,36.794,1000,1,1,,,0
UMTS,605,1,10011,7281836,0,10.13,36.794,1000,1,1,,,0
GSM,605,1,10011,423,0,10.128,36.794,1000,1,1,,,0
GSM,605,1,10011,12582,0,10.123,36.795,1000,1,1,,,0
UMTS,605,1,10018,141950,0,10.125,36.795,1351,1,1,,,0
LTE,605,3,4156,3928322,0,10.123,36.795,1000,1,1,,,0
UMTS,605,2,250,198793,0,10.125,36.795,1000,1,1,,,0
UMTS,605,3,2100,656281,0,10.125,36.795,1000,1,1,,,0
UMTS,605,2,1020,854152,0,10.127,36.795,1000,1,1,,,0
UMTS,605,2,1020,853114,0,10.127,36.795,1000,1,1,,,0
UMTS,605,2,1020,856515,0,10.127,36.795,1000,1,1,,,0
GSM,605,2,10011,712,0,10.131,36.795,1000,1,1,,,0
GSM,605,2,10011,423,0,10.131,36.795,1000,1,1,,,0
GSM,605,2,10011,422,0,10.131,36.795,1000,1,1,,,0
UMTS,605,3,2100,655963,0,10.129,36.795,1000,1,1,,,0
GSM,605,1,10011,1812,0,10.124,36.796,1000,1,1,,,0
GSM,605,1,10011,1992,0,10.121,36.796,1000,1,1,,,0
GSM,605,2,412,52975,0,10.139,36.785,2975,1,1,,,0
UMTS,605,3,2100,662707,0,10.14,36.788,1000,1,1,,,0
UMTS,605,3,2100,656242,0,10.133,36.789,1000,1,1,,,0
UMTS,605,2,250,200402,0,10.133,36.79,1000,1,1,,,0
UMTS,605,1,10011,7274802,0,10.133,36.79,1000,1,1,,,0
UMTS,605,3,2156,686232,0,10.133,36.79,1000,1,1,,,0
UMTS,605,3,2100,686231,0,10.134,36.79,1000,1,1,,,0
UMTS,605,2,1020,858089,0,10.134,36.79,1000,1,1,,,0
UMTS,605,3,2164,818720,0,10.134,36.79,1000,1,1,,,0
LTE,605,1,10011,17670,0,10.136,36.79,1000,1,1,,,0
GSM,605,2,418,51433,0,10.138,36.79,2485,1,1,,,0
LTE,605,1,10011,7686,0,10.136,36.791,1000,1,1,,,0
UMTS,605,3,2119,227501,0,10.136,36.791,1000,1,1,,,0
LTE,605,2,1020,11698188,0,10.136,36.791,1000,1,1,,,0
UMTS,605,3,2100,656258,0,10.136,36.791,1000,1,1,,,0
GSM,605,3,1119,16027,0,10.136,36.791,1000,1,1,,,0
GSM,605,3,1119,16632,0,10.136,36.791,1000,1,1,,,0
UMTS,605,1,10011,7276856,0,10.136,36.791,1000,1,1,,,0
UMTS,605,1,10011,7274799,0,10.136,36.791,1000,1,1,,,0
LTE,605,2,137,11588611,0,10.136,36.791,1000,1,1,,,0
UMTS,605,3,2164,686236,0,10.136,36.791,1000,1,1,,,0
UMTS,605,2,136,197107,0,10.138,36.791,1000,1,1,,,0
UMTS,605,3,2164,818715,0,10.138,36.791,1000,1,1,,,0
UMTS,605,3,2100,818715,0,10.138,36.791,1000,1,1,,,0
UMTS,605,3,2100,686236,0,10.132,36.791,1000,1,1,,,0
GSM,605,2,418,52152,0,10.136,36.791,1000,1,1,,,0
LTE,605,2,1020,11622412,0,10.137,36.791,1000,1,1,,,0
LTE,605,1,10011,10756,0,10.142,36.791,2260,1,1,,,0
UMTS,605,2,134,66983,0,10.135,36.792,3936,1,1,,,0
UMTS,605,1,10011,7276396,0,10.133,36.792,1000,1,1,,,0
UMTS,605,3,2100,686252,0,10.143,36.792,1000,1,1,,,0
GSM,605,3,1119,15792,0,10.135,36.793,1000,1,1,,,0
UMTS,605,3,2119,197501,0,10.14,36.793,1000,1,1,,,0
UMTS,605,3,2119,197500,0,10.142,36.793,1000,1,1,,,0
UMTS,605,3,2100,656253,0,10.138,36.793,1000,1,1,,,0
UMTS,605,2,136,198474,0,10.141,36.793,1000,1,1,,,0
UMTS,605,3,2100,656257,0,10.141,36.793,1000,1,1,,,0
UMTS,605,3,2100,656252,0,10.142,36.793,1000,1,1,,,0
LTE,605,2,1020,11532547,0,10.144,36.793,1000,1,1,,,0
LTE,605,2,137,11565571,0,10.144,36.793,1000,1,1,,,0
UMTS,605,3,2100,793925,0,10.144,36.793,1000,1,1,,,0
LTE,605,2,1020,11522050,0,10.139,36.793,1000,1,1,,,0
GSM,605,3,119,16633,0,10.136,36.793,1000,1,1,,,0
UMTS,605,3,2156,197430,0,10.135,36.793,2508,1,1,,,0
UMTS,605,1,10011,7275187,0,10.14,36.793,1415,1,1,,,0
UMTS,605,1,10011,7274917,0,10.137,36.794,1000,1,1,,,0
GSM,605,1,10011,712,0,10.133,36.794,1000,1,1,,,0
GSM,605,2,10011,425,0,10.133,36.794,1000,1,1,,,0
GSM,605,2,10011,424,0,10.133,36.794,1000,1,1,,,0
UMTS,605,3,2100,656278,0,10.133,36.794,1000,1,1,,,0
GSM,605,3,119,15792,0,10.134,36.794,1000,1,1,,,0
UMTS,605,3,2100,655967,0,10.136,36.794,1000,1,1,,,0
UMTS,605,1,10011,67565,0,10.14,36.794,1000,1,1,,,0
UMTS,605,2,1020,903836,0,10.14,36.794,1000,1,1,,,0
UMTS,605,2,210,262977,0,10.14,36.794,1000,1,1,,,0
UMTS,605,2,1020,855973,0,10.138,36.794,1000,1,1,,,0
GSM,605,1,10011,424,0,10.139,36.794,1000,1,1,,,0
UMTS,605,2,1020,856512,0,10.136,36.795,1000,1,1,,,0
UMTS,605,2,1020,854124,0,10.134,36.795,1000,1,1,,,0
UMTS,605,1,10011,7274804,0,10.141,36.795,1000,1,1,,,0
UMTS,605,3,2100,685967,0,10.135,36.795,1000,1,1,,,0
UMTS,605,1,10011,7279717,0,10.143,36.795,1000,1,1,,,0
UMTS,605,3,2100,655962,0,10.134,36.795,1000,1,1,,,0
GSM,605,3,1119,15798,0,10.134,36.795,1000,1,1,,,0
UMTS,605,2,1020,854122,0,10.136,36.795,1000,1,1,,,0
UMTS,605,3,2100,656243,0,10.136,36.795,1000,1,1,,,0
GSM,605,1,10011,306,0,10.137,36.795,1000,1,1,,,0
GSM,605,2,10011,306,0,10.137,36.795,1000,1,1,,,0
GSM,605,1,10011,716,0,10.137,36.795,1000,1,1,,,0
GSM,605,2,10011,426,0,10.138,36.795,1000,1,1,,,0
GSM,605,1,10011,421,0,10.14,36.795,1000,1,1,,,0
GSM,605,2,10011,421,0,10.14,36.795,1000,1,1,,,0
GSM,605,1,10011,426,0,10.134,36.795,1000,1,1,,,0
UMTS,605,2,1020,854153,0,10.137,36.795,1000,1,1,,,0
GSM,605,3,1119,16152,0,10.143,36.795,1000,1,1,,,0
UMTS,605,1,10011,7279396,0,10.143,36.795,1000,1,1,,,0
UMTS,605,1,10011,7279536,0,10.144,36.795,1000,1,1,,,0
UMTS,605,1,10011,7281401,0,10.144,36.795,1000,1,1,,,0
GSM,605,3,1119,16158,0,10.144,36.795,1000,1,1,,,0
UMTS,605,1,10011,7274920,0,10.142,36.795,1361,1,1,,,0
GSM,605,3,1119,16157,0,10.144,36.795,1000,1,1,,,0
UMTS,605,3,2100,686278,0,10.139,36.796,1000,1,1,,,0
UMTS,605,2,137,266275,0,10.15,36.788,5350,1,1,,,0
LTE,605,2,1020,11556621,0,10.156,36.791,1505,1,1,,,0
GSM,605,2,418,51436,0,10.15,36.792,1473,1,1,,,0
GSM,605,3,1125,17183,0,10.155,36.792,1000,1,1,,,0
UMTS,605,2,136,201149,0,10.151,36.792,3279,1,1,,,0
GSM,605,1,10001,173,0,10.152,36.793,1000,1,1,,,0
UMTS,605,3,2100,656261,0,10.154,36.793,1000,1,1,,,0
UMTS,605,3,2119,200591,0,10.155,36.793,1000,1,1,,,0
UMTS,605,3,2164,692706,0,10.155,36.793,1000,1,1,,,0
UMTS,605,3,2164,686252,0,10.145,36.793,1000,1,1,,,0
UMTS,605,3,2100,662705,0,10.145,36.793,1000,1,1,,,0
UMTS,605,3,2100,656267,0,10.145,36.793,1000,1,1,,,0
LTE,605,3,4100,3877388,0,10.147,36.793,1000,1,1,,,0
LTE,605,1,10011,7682,0,10.153,36.793,1000,1,1,,,0
UMTS,605,3,2100,692701,0,10.155,36.793,1000,1,1,,,0
UMTS,605,3,2100,662701,0,10.155,36.793,1000,1,1,,,0
LTE,605,1,10001,4358,0,10.152,36.793,1000,1,1,,,0
GSM,605,3,103,16702,0,10.156,36.793,1000,1,1,,,0
UMTS,605,3,2100,692706,0,10.154,36.793,1000,1,1,,,0
GSM,605,3,1119,16159,0,10.155,36.793,1000,1,1,,,0
LTE,605,1,10011,7685,0,10.145,36.793,1000,1,1,,,0
UMTS,605,3,2119,197130,0,10.15,36.793,1000,1,1,,,0
GSM,605,1,10001,2022,0,10.155,36.793,1000,1,1,,,0
UMTS,605,2,1020,852464,0,10.149,36.793,1000,1,1,,,0
UMTS,605,3,2100,662706,0,10.155,36.794,1000,1,1,,,0
UMTS,605,3,2100,479901,0,10.145,36.794,1000,1,1,,,0
UMTS,605,2,136,197104,0,10.147,36.794,1000,1,1,,,0
UMTS,605,2,136,199473,0,10.147,36.794,1000,1,1,,,0
UMTS,605,3,2119,203950,0,10.148,36.794,1000,1,1,,,0
GSM,605,3,119,16632,0,10.148,36.794,1000,1,1,,,0
GSM,605,2,418,52862,0,10.148,36.794,1000,1,1,,,0
GSM,605,2,418,54222,0,10.148,36.794,1000,1,1,,,0
GSM,605,2,418,58571,0,10.148,36.794,1000,1,1,,,0
UMTS,605,3,2100,659343,0,10.148,36.794,1000,1,1,,,0
UMTS,605,3,2100,689343,0,10.148,36.794,1000,1,1,,,0
UMTS,605,1,10011,7274803,0,10.148,36.794,1000,1,1,,,0
UMTS,605,1,10011,7275191,0,10.148,36.794,1000,1,1,,,0
GSM,605,2,418,50493,0,10.149,36.794,1000,1,1,,,0
UMTS,605,1,10011,69676,0,10.149,36.794,1000,1,1,,,0
UMTS,605,3,2100,656231,0,10.149,36.794,1000,1,1,,,0
UMTS,605,3,2100,656266,0,10.149,36.794,1000,1,1,,,0
UMTS,605,3,2100,659348,0,10.149,36.794,1000,1,1,,,0
LTE,605,1,10011,17667,0,10.149,36.794,1000,1,1,,,0
GSM,605,2,401,51783,0,10.151,36.794,1000,1,1,,,0
UMTS,605,3,2154,662701,0,10.152,36.794,1000,1,1,,,0
LTE,605,1,10011,17666,0,10.152,36.794,1000,1,1,,,0
GSM,605,3,1119,16702,0,10.152,36.794,1000,1,1,,,0
UMTS,605,1,10001,7274801,0,10.153,36.794,1000,1,1,,,0
UMTS,605,3,2100,685882,0,10.153,36.794,1000,1,1,,,0
UMTS,605,3,2164,817464,0,10.153,36.794,1000,1,1,,,0
GSM,605,3,119,15628,0,10.15,36.794,1000,1,1,,,0
GSM,605,1,10001,1323,0,10.151,36.794,1000,1,1,,,0
UMTS,605,3,2157,557831,0,10.151,36.794,1000,1,1,,,0
UMTS,605,1,10011,7275194,0,10.146,36.794,1000,1,1,,,0
GSM,605,2,418,51862,0,10.151,36.794,1000,1,1,,,0
UMTS,605,3,2100,656262,0,10.145,36.795,1000,1,1,,,0
UMTS,605,3,2100,686261,0,10.147,36.795,1000,1,1,,,0
UMTS,605,2,1020,906196,0,10.148,36.795,1000,1,1,,,0
LTE,605,2,1020,11532557,0,10.156,36.795,1000,1,1,,,0
UMTS,605,3,2100,692702,0,10.148,36.795,1000,1,1,,,0
UMTS,605,3,2100,662702,0,10.147,36.795,1000,1,1,,,0
UMTS,605,2,134,68708,0,10.15,36.795,5346,1,1,,,0
UMTS,605,2,1020,856196,0,10.145,36.795,1000,1,1,,,0
UMTS,605,2,137,262173,0,10.145,36.795,1000,1,1,,,0
UMTS,605,2,1020,854125,0,10.145,36.795,1000,1,1,,,0
GSM,605,2,418,53812,0,10.145,36.795,1000,1,1,,,0
UMTS,605,2,136,200833,0,10.147,36.795,1000,1,1,,,0
GSM,605,1,10011,302,0,10.147,36.795,1000,1,1,,,0
GSM,605,1,10001,1741,0,10.147,36.795,1000,1,1,,,0
UMTS,605,1,10001,70366,0,10.147,36.795,1000,1,1,,,0
GSM,605,3,1119,16639,0,10.147,36.795,1000,1,1,,,0
GSM,605,2,418,52852,0,10.147,36.795,1000,1,1,,,0
GSM,605,1,10011,693,0,10.148,36.795,1000,1,1,,,0
GSM,605,1,10017,6934,0,10.148,36.795,1000,1,1,,,0
GSM,605,2,418,52865,0,10.148,36.795,1000,1,1,,,0
GSM,605,2,418,55212,0,10.148,36.795,1000,1,1,,,0
GSM,605,2,10001,796,0,10.148,36.795,1000,1,1,,,0
GSM,605,2,10017,6934,0,10.148,36.795,1000,1,1,,,0
GSM,605,2,10001,1325,0,10.148,36.795,1000,1,1,,,0
GSM,605,2,10017,255,0,10.148,36.795,1000,1,1,,,0
GSM,605,2,418,52863,0,10.148,36.795,1000,1,1,,,0
UMTS,605,2,1020,854836,0,10.148,36.795,1000,1,1,,,0
UMTS,605,1,10011,7278376,0,10.148,36.795,1000,1,1,,,0
UMTS,605,2,1020,854831,0,10.149,36.795,1000,1,1,,,0
UMTS,605,2,1020,907187,0,10.149,36.795,1000,1,1,,,0
UMTS,605,2,1020,904836,0,10.149,36.795,1000,1,1,,,0
UMTS,605,1,10011,7275190,0,10.147,36.795,1000,1,1,,,0
UMTS,605,1,10018,137932,0,10.15,36.795,1000,1,1,,,0
GSM,605,3,1119,18208,0,10.145,36.795,1000,1,1,,,0
GSM,605,3,1119,16151,0,10.146,36.795,1000,1,1,,,0
UMTS,605,1,10011,7276446,0,10.146,36.796,1000,1,1,,,0
GSM,605,1,10011,305,0,10.146,36.796,1000,1,1,,,0
UMTS,605,2,1020,856190,0,10.147,36.796,1000,1,1,,,0
UMTS,605,2,1020,854833,0,10.147,36.796,1000,1,1,,,0
UMTS,605,2,1020,906195,0,10.149,36.796,1000,1,1,,,0
UMTS,605,2,1020,904837,0,10.149,36.796,1000,1,1,,,0
UMTS,605,3,2100,685881,0,10.153,36.796,1000,1,1,,,0
GSM,605,2,401,51435,0,10.163,36.784,1000,1,1,,,0
UMTS,605,3,2100,665302,0,10.168,36.785,3608,1,1,,,0
GSM,605,2,418,51435,0,10.163,36.785,1000,1,1,,,0
UMTS,605,3,2157,659347,0,10.162,36.786,1000,1,1,,,0
UMTS,605,3,2157,655881,0,10.164,36.786,1000,1,1,,,0
UMTS,605,1,10001,67792,0,10.167,36.786,1000,1,1,,,0
UMTS,605,3,2157,557830,0,10.167,36.786,1000,1,1,,,0
UMTS,605,3,2100,659347,0,10.16,36.787,1000,1,1,,,0
UMTS,605,3,2157,662706,0,10.162,36.787,1000,1,1,,,0
UMTS,605,3,2100,527835,0,10.162,36.787,1000,1,1,,,0
UMTS,605,3,2157,527835,0,10.166,36.787,1000,1,1,,,0
UMTS,605,3,2100,689342,0,10.159,36.787,4218,1,1,,,0
LTE,605,3,4100,3917059,0,10.167,36.787,3924,1,1,,,0
LTE,605,1,10001,4355,0,10.164,36.788,1000,1,1,,,0
UMTS,605,2,1020,853401,0,10.165,36.788,1000,1,1,,,0
UMTS,605,2,1020,853403,0,10.168,36.788,1000,1,1,,,0
GSM,605,3,123,16702,0,10.16,36.788,1000,1,1,,,0
LTE,605,1,10011,17669,0,10.16,36.788,1000,1,1,,,0
UMTS,605,3,2157,527830,0,10.162,36.788,1000,1,1,,,0
GSM,605,2,418,51434,0,10.166,36.788,1000,1,1,,,0
GSM,605,3,1125,17182,0,10.166,36.788,1000,1,1,,,0
UMTS,605,2,136,247106,0,10.166,36.788,1000,1,1,,,0
UMTS,605,1,10001,67558,0,10.166,36.788,1000,1,1,,,0
UMTS,605,1,10001,71446,0,10.166,36.788,1000,1,1,,,0
GSM,605,3,1119,15621,0,10.167,36.788,1000,1,1,,,0
GSM,605,3,1125,17188,0,10.167,36.788,1000,1,1,,,0
UMTS,605,1,10001,65709,0,10.167,36.788,1000,1,1,,,0
UMTS,605,3,2157,527831,0,10.167,36.788,1000,1,1,,,0
LTE,605,3,4100,3944716,0,10.162,36.789,2629,1,1,,,0
LTE,605,2,1020,11743499,0,10.166,36.789,1000,1,1,,,0
LTE,605,2,1020,11743500,0,10.166,36.789,1000,1,1,,,0
GSM,605,3,1125,17181,0,10.168,36.789,1000,1,1,,,0
GSM,605,3,1119,10762,0,10.16,36.789,1000,1,1,,,0
UMTS,605,1,10001,65715,0,10.164,36.789,1669,1,1,,,0
GSM,605,1,10001,176,0,10.161,36.789,1000,1,1,,,0
UMTS,605,2,1020,903407,0,10.164,36.789,1000,1,1,,,0
GSM,605,3,1119,10148,0,10.164,36.789,1000,1,1,,,0
UMTS,605,3,2105,69078,0,10.167,36.789,1000,1,1,,,0
UMTS,605,3,2100,659342,0,10.156,36.79,1000,1,1,,,0
UMTS,605,3,2157,659342,0,10.16,36.79,1000,1,1,,,0
UMTS,605,2,136,198041,0,10.16,36.79,1000,1,1,,,0
