radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,605,3,2154,162696,0,10.188,36.762,1000,1,1,,,0
UMTS,605,1,10018,68006,0,10.188,36.762,1000,1,1,,,0
UMTS,605,1,10005,66603,0,10.189,36.762,1000,1,1,,,0
UMTS,605,1,10001,66371,0,10.189,36.762,1000,1,1,,,0
LTE,605,2,137,11669260,0,10.186,36.763,1000,1,1,,,0
LTE,605,2,137,11520523,0,10.186,36.763,1000,1,1,,,0
LTE,605,2,137,11567373,0,10.186,36.763,1000,1,1,,,0
UMTS,605,2,137,264000,0,10.186,36.763,1000,1,1,,,0
GSM,605,1,10001,831,0,10.186,36.763,1000,1,1,,,0
UMTS,605,2,137,262165,0,10.186,36.764,1000,1,1,,,0
GSM,605,1,10001,832,0,10.186,36.764,1000,1,1,,,0
UMTS,605,2,137,317982,0,10.186,36.765,1000,1,1,,,0
GSM,605,3,1154,12932,0,10.186,36.765,1000,1,1,,,0
UMTS,605,2,137,267976,0,10.186,36.765,1000,1,1,,,0
UMTS,605,2,137,264826,0,10.186,36.765,1000,1,1,,,0
GSM,605,2,401,51656,0,10.192,36.765,1000,1,1,,,0
UMTS,605,3,2164,818714,0,10.187,36.766,1000,1,1,,,0
GSM,605,3,1154,11039,0,10.191,36.767,1000,1,1,,,0
GSM,605,2,401,57802,0,10.181,36.768,1000,1,1,,,0
GSM,605,3,1154,12938,0,10.184,36.768,1000,1,1,,,0
UMTS,605,1,10001,70278,0,10.184,36.768,1000,1,1,,,0
UMTS,605,1,10001,66375,0,10.184,36.768,1000,1,1,,,0
UMTS,605,1,10001,66369,0,10.184,36.768,1000,1,1,,,0
LTE,605,3,4154,3093260,0,10.184,36.768,1000,1,1,,,0
GSM,605,3,1154,12201,0,10.184,36.768,1000,1,1,,,0
UMTS,605,1,10005,66368,0,10.184,36.768,1000,1,1,,,0
UMTS,605,2,137,313801,0,10.192,36.768,1000,1,1,,,0
UMTS,605,2,137,269951,0,10.184,36.768,1000,1,1,,,0
LTE,605,3,4164,3074305,0,10.189,36.768,1000,1,1,,,0
LTE,605,3,4164,3102465,0,10.19,36.769,1483,1,1,,,0
UMTS,605,2,137,317983,0,10.183,36.769,1000,1,1,,,0
GSM,605,3,1154,11567,0,10.192,36.769,1000,1,1,,,0
UMTS,605,1,10001,66826,0,10.182,36.769,1000,1,1,,,0
GSM,605,3,1154,12931,0,10.182,36.769,1000,1,1,,,0
LTE,605,3,4154,3093259,0,10.182,36.769,1000,1,1,,,0
GSM,605,1,10001,1745,0,10.182,36.769,1000,1,1,,,0
UMTS,605,2,137,267977,0,10.182,36.769,1000,1,1,,,0
UMTS,605,2,137,267980,0,10.182,36.769,1000,1,1,,,0
UMTS,605,1,10001,66372,0,10.184,36.769,1000,1,1,,,0
UMTS,605,1,10001,65904,0,10.191,36.769,1000,1,1,,,0
GSM,605,3,1154,12061,0,10.191,36.769,1000,1,1,,,0
GSM,605,3,1154,12067,0,10.191,36.769,1000,1,1,,,0
GSM,605,3,1154,11561,0,10.191,36.769,1000,1,1,,,0
UMTS,605,2,137,11532546,0,10.191,36.769,1000,1,1,,,0
UMTS,605,1,10005,65873,0,10.191,36.769,1000,1,1,,,0
UMTS,605,1,10001,67106,0,10.191,36.769,1000,1,1,,,0
UMTS,605,3,2164,788729,0,10.191,36.769,1000,1,1,,,0
UMTS,605,3,2164,788563,0,10.191,36.769,1000,1,1,,,0
GSM,605,3,1154,12937,0,10.182,36.77,1000,1,1,,,0
UMTS,605,3,2154,132578,0,10.191,36.77,1000,1,1,,,0
LTE,605,3,4164,3102475,0,10.192,36.77,1000,1,1,,,0
GSM,605,3,1154,12063,0,10.187,36.77,1000,1,1,,,0
UMTS,605,1,10001,7865118,0,10.185,36.77,1000,1,1,,,0
UMTS,605,2,10001,21252,0,10.189,36.77,1000,1,1,,,0
GSM,605,3,1154,12069,0,10.186,36.77,1000,1,1,,,0
UMTS,605,2,137,314832,0,10.182,36.77,1000,1,1,,,0
UMTS,605,3,2164,822413,0,10.182,36.771,1000,1,1,,,0
UMTS,605,2,137,267983,0,10.182,36.771,1000,1,1,,,0
UMTS,605,2,137,264832,0,10.182,36.771,1000,1,1,,,0
UMTS,605,2,137,264829,0,10.182,36.771,1000,1,1,,,0
UMTS,605,2,137,264825,0,10.182,36.771,1000,1,1,,,0
GSM,605,2,401,50021,0,10.184,36.771,1000,1,1,,,0
UMTS,605,3,2154,132574,0,10.185,36.771,1000,1,1,,,0
UMTS,605,1,10005,65901,0,10.189,36.771,1000,1,1,,,0
UMTS,605,3,2154,132573,0,10.189,36.771,1000,1,1,,,0
UMTS,605,3,2154,162573,0,10.189,36.771,1000,1,1,,,0
GSM,605,1,10001,836,0,10.181,36.771,1000,1,1,,,0
UMTS,605,1,10001,66370,0,10.185,36.771,1000,1,1,,,0
UMTS,605,1,10001,65898,0,10.186,36.771,1000,1,1,,,0
UMTS,605,2,10001,21262,0,10.188,36.772,1000,1,1,,,0
LTE,605,3,4154,3093249,0,10.181,36.772,1000,1,1,,,0
LTE,605,1,10001,44546,0,10.181,36.772,1000,1,1,,,0
UMTS,605,2,210,265109,0,10.184,36.772,1000,1,1,,,0
UMTS,605,2,137,264892,0,10.189,36.772,1000,1,1,,,0
GSM,605,2,137,1656,0,10.199,36.76,1000,1,1,,,0
UMTS,605,3,2154,133183,0,10.199,36.76,1000,1,1,,,0
UMTS,605,1,10005,77106,0,10.2,36.76,1000,1,1,,,0
GSM,605,3,1154,11412,0,10.201,36.76,1000,1,1,,,0
UMTS,605,2,137,263995,0,10.199,36.76,1000,1,1,,,0
GSM,605,2,401,56723,0,10.198,36.76,1000,1,1,,,0
GSM,605,3,1154,12711,0,10.2,36.76,1000,1,1,,,0
UMTS,605,2,10005,8453,0,10.199,36.761,1000,1,1,,,0
GSM,605,1,10005,1064,0,10.198,36.761,1000,1,1,,,0
UMTS,605,2,137,263802,0,10.193,36.761,1000,1,1,,,0
UMTS,605,1,10005,68996,0,10.197,36.761,1000,1,1,,,0
UMTS,605,3,2154,132696,0,10.197,36.761,1000,1,1,,,0
GSM,605,2,401,51652,0,10.199,36.761,1000,1,1,,,0
UMTS,605,1,10005,65885,0,10.199,36.761,1000,1,1,,,0
LTE,605,2,137,11567361,0,10.199,36.761,1000,1,1,,,0
LTE,605,3,4154,3096844,0,10.199,36.761,1000,1,1,,,0
LTE,605,1,10018,65538,0,10.2,36.761,1000,1,1,,,0
UMTS,605,3,2164,824949,0,10.2,36.761,1000,1,1,,,0
UMTS,605,1,10018,65879,0,10.2,36.761,1000,1,1,,,0
GSM,605,3,1154,12717,0,10.198,36.761,1000,1,1,,,0
UMTS,605,1,10005,65878,0,10.199,36.761,1000,1,1,,,0
LTE,605,3,4164,3102476,0,10.197,36.761,2104,1,1,,,0
UMTS,605,2,137,263998,0,10.195,36.762,1000,1,1,,,0
LTE,605,2,137,11523341,0,10.198,36.762,1000,1,1,,,0
LTE,605,3,4164,3109900,0,10.198,36.762,2052,1,1,,,0
LTE,605,1,10005,27140,0,10.198,36.762,1000,1,1,,,0
GSM,605,2,137,54957,0,10.198,36.762,1000,1,1,,,0
GSM,605,3,2164,11412,0,10.203,36.762,1000,1,1,,,0
GSM,605,2,137,51658,0,10.198,36.762,1000,1,1,,,0
GSM,605,3,1154,12287,0,10.197,36.762,1000,1,1,,,0
GSM,605,3,1154,11038,0,10.197,36.762,1000,1,1,,,0
UMTS,605,3,2154,169588,0,10.197,36.762,1000,1,1,,,0
UMTS,605,1,10005,67960,0,10.197,36.762,1000,1,1,,,0
UMTS,605,3,2164,794948,0,10.197,36.762,1000,1,1,,,0
GSM,605,3,1154,12452,0,10.199,36.762,1000,1,1,,,0
UMTS,605,1,10005,65879,0,10.199,36.762,1000,1,1,,,0
UMTS,605,2,137,268867,0,10.197,36.762,1000,1,1,,,0
UMTS,605,3,2154,163204,0,10.198,36.762,1000,1,1,,,0
GSM,605,2,137,263,0,10.198,36.762,1000,1,1,,,0
GSM,605,2,401,51655,0,10.198,36.763,1000,1,1,,,0
GSM,605,3,1154,12280,0,10.196,36.763,1000,1,1,,,0
UMTS,605,2,137,313802,0,10.201,36.763,1000,1,1,,,0
UMTS,605,3,2154,132764,0,10.197,36.763,1442,1,1,,,0
UMTS,605,3,2164,788123,0,10.203,36.763,1000,1,1,,,0
LTE,605,3,4154,3118338,0,10.198,36.764,1000,1,1,,,0
UMTS,605,3,2154,162769,0,10.196,36.764,1000,1,1,,,0
UMTS,605,1,10005,65846,0,10.196,36.764,1000,1,1,,,0
UMTS,605,1,10005,67218,0,10.197,36.764,1000,1,1,,,0
UMTS,605,3,2154,169583,0,10.197,36.764,1000,1,1,,,0
UMTS,605,1,10005,75775,0,10.197,36.764,1000,1,1,,,0
GSM,605,3,1118,11509,0,10.197,36.764,1000,1,1,,,0
GSM,605,3,1154,12979,0,10.197,36.764,1000,1,1,,,0
UMTS,605,2,137,268077,0,10.197,36.764,1000,1,1,,,0
LTE,605,3,4154,3096845,0,10.197,36.764,1000,1,1,,,0
GSM,605,2,401,56721,0,10.203,36.764,1000,1,1,,,0
LTE,605,3,4164,3109899,0,10.197,36.764,1838,1,1,,,0
GSM,605,1,10005,10053,0,10.197,36.764,2786,1,1,,,0
UMTS,605,2,137,263800,0,10.196,36.764,1000,1,1,,,0
GSM,605,1,10005,10056,0,10.196,36.765,2012,1,1,,,0
UMTS,605,3,2164,788383,0,10.2,36.765,1059,1,1,,,0
UMTS,605,3,2154,162765,0,10.197,36.765,1000,1,1,,,0
GSM,605,3,1154,12459,0,10.197,36.765,1000,1,1,,,0
UMTS,605,3,2154,162770,0,10.195,36.765,1000,1,1,,,0
GSM,605,3,1154,11032,0,10.196,36.765,1000,1,1,,,0
UMTS,605,1,10005,70356,0,10.196,36.765,1000,1,1,,,0
UMTS,605,3,2164,818703,0,10.196,36.765,1000,1,1,,,0
UMTS,605,1,10005,65871,0,10.197,36.765,1000,1,1,,,0
UMTS,605,3,2154,139588,0,10.197,36.765,1000,1,1,,,0
UMTS,605,3,2154,132769,0,10.199,36.765,1000,1,1,,,0
UMTS,605,1,10005,65880,0,10.201,36.765,1000,1,1,,,0
LTE,605,3,4164,3109909,0,10.197,36.766,1000,1,1,,,0
UMTS,605,2,137,264889,0,10.194,36.766,1312,1,1,,,0
LTE,605,3,4164,3106571,0,10.201,36.766,1000,1,1,,,0
UMTS,605,3,2164,818643,0,10.201,36.766,1000,1,1,,,0
